#bytes,#repetitions,t[usec],Mbytes/sec
64,1000,0.58,111.16
128,1000,1.07,119.32
256,1000,1.09,234.35
512,1000,1.22,419.59
1024,1000,1.46,699.46
2048,1000,2.07,988.71
4096,1000,2.94,1393.02
8192,1000,4.64,1765.72
16384,1000,7.06,2320.00
32768,1000,12.61,2598.89
65536,640,23.93,2738.82
131072,320,43.62,3004.83
262144,160,14.89,17608.72
524288,80,26.51,19776.64
1048576,40,60.90,17218.98
2097152,20,162.21,12928.74
4194304,10,358.81,11689.47
8388608,5,789.31,10627.79
16777216,2,2513.14,6675.80
33554432,1,6940.66,4834.47
67108864,1,14393.58,4662.42
134217728,1,28819.71,4657.15
268435456,1,57711.71,4651.32
